episode,train_return,val_return,train_sharpe,val_sharpe,train_total_return,val_total_return,train_sharpe_ratio,val_sharpe_ratio
10,0.8414,0.1238,0.8,0.99,0.8414,0.1238,0.8,0.99
20,0.5626,0.1669,0.63,1.23,0.5626,0.1669,0.63,1.23
30,1.1626,0.2632,0.86,1.77,1.1626,0.2632,0.86,1.77
40,1.2419,0.2735,0.89,1.88,1.2419,0.2735,0.89,1.88
50,1.2556,0.1955,0.9,1.24,1.2556,0.1955,0.9,1.24
60,1.105,0.2772,0.83,1.87,1.105,0.2772,0.83,1.87
70,1.2139,0.2713,0.86,1.85,1.2139,0.2713,0.86,1.85
80,1.3053,0.2739,0.9,1.85,1.3053,0.2739,0.9,1.85
90,1.235,0.2713,0.87,1.85,1.235,0.2713,0.87,1.85
100,1.3936,0.2545,0.95,1.82,1.3936,0.2545,0.95,1.82
110,1.2851,0.2507,0.88,1.77,1.2851,0.2507,0.88,1.77
120,1.2983,0.1791,0.92,1.45,1.2983,0.1791,0.92,1.45
130,1.3805,0.2191,0.93,1.63,1.3805,0.2191,0.93,1.63
140,1.3664,0.2211,0.94,1.59,1.3664,0.2211,0.94,1.59
150,1.2746,0.2538,0.89,1.85,1.2746,0.2538,0.89,1.85
160,1.3735,0.2239,0.94,1.72,1.3735,0.2239,0.94,1.72
170,1.2775,0.2387,0.89,1.7,1.2775,0.2387,0.89,1.7
180,1.2118,0.1669,0.87,1.37,1.2118,0.1669,0.87,1.37
190,1.4232,0.1157,1.0,0.81,1.4232,0.1157,1.0,0.81
200,1.289,0.2257,0.89,1.68,1.289,0.2257,0.89,1.68
210,1.3272,0.2171,0.9,1.61,1.3272,0.2171,0.9,1.61
220,1.4632,0.2745,0.97,2.44,1.4632,0.2745,0.97,2.44
230,1.3567,0.2028,0.92,1.57,1.3567,0.2028,0.92,1.57
240,1.4457,0.182,0.98,1.39,1.4457,0.182,0.98,1.39
250,1.3552,0.2395,0.91,1.71,1.3552,0.2395,0.91,1.71
260,1.3856,0.2185,0.94,1.59,1.3856,0.2185,0.94,1.59
270,1.3415,0.2013,0.92,1.52,1.3415,0.2013,0.92,1.52
280,1.3623,0.2105,0.95,1.57,1.3623,0.2105,0.95,1.57
290,1.4382,0.1964,0.97,1.51,1.4382,0.1964,0.97,1.51
300,1.4903,0.1952,1.03,1.51,1.4903,0.1952,1.03,1.51
310,1.3122,0.1789,0.96,1.42,1.3122,0.1789,0.96,1.42
320,1.3328,0.197,0.97,1.48,1.3328,0.197,0.97,1.48
330,1.4693,0.1911,0.99,1.41,1.4693,0.1911,0.99,1.41
340,1.3701,0.1914,0.94,1.41,1.3701,0.1914,0.94,1.41
350,1.4138,0.2094,0.96,1.5,1.4138,0.2094,0.96,1.5
360,1.5274,0.2,1.04,1.48,1.5274,0.2,1.04,1.48
370,1.5272,0.173,1.05,1.39,1.5272,0.173,1.05,1.39
380,1.2689,0.1726,0.92,1.36,1.2689,0.1726,0.92,1.36
390,1.3109,0.1941,0.92,1.43,1.3109,0.1941,0.92,1.43
400,1.5795,0.2066,1.03,1.49,1.5795,0.2066,1.03,1.49
410,1.4394,0.2113,0.97,1.52,1.4394,0.2113,0.97,1.52
420,1.3764,0.2243,0.97,1.63,1.3764,0.2243,0.97,1.63
430,1.4341,0.2006,0.98,1.47,1.4341,0.2006,0.98,1.47
440,1.3683,0.2106,0.97,1.54,1.3683,0.2106,0.97,1.54
450,1.4177,0.21,0.96,1.51,1.4177,0.21,0.96,1.51
460,1.4709,0.2131,1.01,1.53,1.4709,0.2131,1.01,1.53
470,1.4204,0.2101,0.96,1.52,1.4204,0.2101,0.96,1.52
480,1.3581,0.2052,0.97,1.54,1.3581,0.2052,0.97,1.54
490,1.4016,0.2105,0.97,1.51,1.4016,0.2105,0.97,1.51
500,1.5287,0.2046,1.02,1.55,1.5287,0.2046,1.02,1.55
